Scene,Time,Rotate_Hor,Rotate_Ver,ConRotate_Hor,ConRotate_Ver
Lake,00:00:02.1837301,0,0,0,0
Lake,00:00:02.7503106,0,0,0,0
Lake,00:00:03.2529440,0,0,0,0
Lake,00:00:03.7844387,0,0,0,0
Lake,00:00:04.2790158,0,0,0,0
Lake,00:00:04.7229835,0,0,0,0
Lake,00:00:05.2239694,82.3813,0,0,0
Lake,00:00:05.7413485,413.8186,0,0,0
Lake,00:00:06.2609402,841.0461,0,0,0
Lake,00:00:06.7461276,1298.773,0,0,0
Mountain,00:00:07.0448368,1550.707,0,0,0
Mountain,00:00:07.2064323,1756.984,0,0,0
Mountain,00:00:07.5194666,2215.641,0,0,0
Mountain,00:00:07.9381008,2674.446,0,0,0
Lake,00:00:08.5730844,3110.469,0,0,0
Lake,00:00:08.6220777,3133.425,0,0,0
Lake,00:00:08.9663281,3592.667,0,0,0
Lake,00:00:09.2931280,4051.956,0,0,0
Lake,00:00:09.9696541,4511.307,0,0,0
Lake,00:00:10.4933939,4970.754,0,0,0
Lake,00:00:10.9933622,5365.848,0,6.5,0
Lake,00:00:11.5357285,5771.977,0,15,0
Lake,00:00:12.0561388,6356.759,0,15,0
